Speaker_1,Speaker_2,Speaker_1_Time_Sec,Speaker_2_Time_Sec,Matched_Phrase,Time_Delta_Sec,Distance_Feet,Distance_Meters
Kush,Alicia,50.574,36.429,i have a white,14.1457,15918.6,4851.98
Kush,Alicia,111.728,98.4,class class can you,13.328,14998.4,4571.5
Kush,Alicia,112.236,98.8,class can you guys,13.436,15119.93,4608.55
Kush,Alicia,112.744,99.2,can you guys see,13.544,15241.47,4645.59
Kush,Alicia,113.252,99.6,you guys see the,13.652,15363.01,4682.64
Kush,Alicia,113.76,100.0,guys see the board,13.76,15484.54,4719.68
Kush,Alicia,114.268,100.4,see the board properly,13.868,15606.08,4756.72
Kush,Alicia,114.776,100.8,the board properly yeah,13.976,15727.61,4793.77
Kush,Alicia,115.284,101.2,board properly yeah i,14.084,15849.15,4830.81
Kush,Alicia,115.792,101.6,properly yeah i can,14.192,15970.68,4867.86
Kush,Alicia,116.3,102.0,yeah i can see,14.3,16092.22,4904.9
Kush,Alicia,116.6,102.333,i can see the,14.2667,16054.71,4893.47
Kush,Alicia,116.9,102.667,can see the board,14.2333,16017.2,4882.03
Kush,Alicia,118.1,105.15,so today were going,12.95,14573.02,4441.85
Kush,Alicia,118.307,105.3,today were going to,13.0067,14636.79,4461.29
Kush,Alicia,118.513,105.45,were going to be,13.0633,14700.56,4480.72
Kush,Alicia,118.513,106.95,were going to be,11.5633,13012.57,3966.22
Kush,Alicia,118.72,105.6,going to be going,13.12,14764.33,4500.16
Kush,Alicia,118.927,105.75,to be going over,13.1767,14828.1,4519.6
Kush,Alicia,119.133,105.9,be going over what,13.2333,14891.87,4539.03
Kush,Alicia,119.34,106.05,going over what type,13.29,14955.64,4558.47
Kush,Alicia,119.547,106.2,over what type of,13.3467,15019.4,4577.91
Kush,Alicia,119.753,106.35,what type of animal,13.4033,15083.17,4597.34
Kush,Alicia,119.96,106.5,type of animal were,13.46,15146.94,4616.78
Kush,Alicia,120.167,106.65,of animal were going,13.5167,15210.71,4636.22
Kush,Alicia,120.373,106.8,animal were going to,13.5733,15274.48,4655.65
Kush,Alicia,120.58,105.45,were going to be,15.13,17026.24,5189.59
Kush,Alicia,120.58,106.95,were going to be,13.63,15338.25,4675.09
Kush,Alicia,120.866,107.1,going to be seeing,13.7657,15490.97,4721.64
Kush,Alicia,121.151,107.25,to be seeing today,13.9014,15643.69,4768.19
Kush,Alicia,122.58,109.0,animals i love animals,13.58,15281.98,4657.94
Kush,Alicia,124.602,111.182,so first things first,13.42,15101.93,4603.06
Kush,Alicia,124.824,111.364,first things first im,13.46,15146.94,4616.78
Kush,Alicia,125.045,111.545,things first im going,13.5,15191.95,4630.5
Kush,Alicia,125.267,111.727,first im going to,13.54,15236.97,4644.22
Kush,Alicia,125.489,111.909,im going to draw,13.58,15281.98,4657.94
Kush,Alicia,125.489,131.0,im going to draw,5.5109,6201.59,1890.24
Kush,Alicia,125.711,112.091,going to draw a,13.62,15326.99,4671.66
Kush,Alicia,125.711,131.111,going to draw a,5.4002,6077.01,1852.27
Kush,Alicia,125.933,112.273,to draw a picture,13.66,15372.01,4685.38
Kush,Alicia,125.933,131.222,to draw a picture,5.2895,5952.43,1814.3
Kush,Alicia,126.155,112.455,draw a picture my,13.7,15417.02,4699.1
Kush,Alicia,126.376,112.636,a picture my favorite,13.74,15462.03,4712.82
Kush,Alicia,126.598,112.818,picture my favorite animal,13.78,15507.05,4726.54
Kush,Alicia,126.82,113.0,my favorite animal is,13.82,15552.06,4740.26
Kush,Alicia,129.74,116.0,well get to that,13.74,15462.03,4712.82
Kush,Alicia,129.89,116.125,get to that in,13.765,15490.17,4721.4
Kush,Alicia,130.04,116.25,to that in a,13.79,15518.3,4729.97
Kush,Alicia,130.19,116.375,that in a little,13.815,15546.43,4738.54
Kush,Alicia,130.34,116.5,in a little bit,13.84,15574.57,4747.12
Kush,Alicia,130.49,116.625,a little bit monkeys,13.865,15602.7,4755.7
Kush,Alicia,130.64,116.75,little bit monkeys i,13.89,15630.83,4764.27
Kush,Alicia,130.79,116.875,bit monkeys i like,13.915,15658.97,4772.84
Kush,Alicia,130.94,117.0,monkeys i like monkeys,13.94,15687.1,4781.42
Kush,Alicia,131.66,117.4,i like monkeys too,14.26,16047.21,4891.18
Kush,Alicia,131.95,117.8,like monkeys too theyre,14.15,15923.42,4853.45
Kush,Alicia,132.24,118.2,monkeys too theyre pretty,14.04,15799.63,4815.72
Kush,Alicia,132.53,118.6,too theyre pretty yeah,13.93,15675.85,4777.99
Kush,Alicia,132.82,119.0,theyre pretty yeah no,13.82,15552.06,4740.26
Kush,Alicia,133.393,119.667,pretty yeah no but,13.7267,15447.03,4708.25
Kush,Alicia,133.967,120.333,yeah no but your,13.6333,15342.0,4676.23
Kush,Alicia,134.54,121.0,no but your apples,13.54,15236.97,4644.22
Kush,Alicia,135.031,121.429,but your apples are,13.6029,15307.7,4665.78
Kush,Alicia,135.523,121.857,your apples are actually,13.6657,15378.44,4687.34
Kush,Alicia,136.014,122.286,apples are actually better,13.7286,15449.17,4708.9
Kush,Alicia,136.506,122.714,are actually better no,13.7914,15519.91,4730.46
Kush,Alicia,136.997,123.143,actually better no because,13.8543,15590.64,4752.02
Kush,Alicia,137.489,123.571,better no because they,13.9171,15661.38,4773.58
Kush,Alicia,137.98,124.0,no because they have,13.98,15732.11,4795.14
Kush,Alicia,138.28,124.5,because they have long,13.78,15507.05,4726.54
Kush,Alicia,138.58,125.0,they have long necks,13.58,15281.98,4657.94
Kush,Alicia,138.88,125.5,have long necks monkeys,13.38,15056.92,4589.34
Kush,Alicia,139.18,126.0,long necks monkeys have,13.18,14831.85,4520.74
Kush,Alicia,139.48,126.5,necks monkeys have long,12.98,14606.78,4452.14
Kush,Alicia,140.58,127.0,monkeys have long necks,13.58,15281.98,4657.94
Kush,Alicia,141.32,127.5,have long necks only,13.82,15552.06,4740.26
Kush,Alicia,142.06,128.0,long necks only some,14.06,15822.14,4822.58
Kush,Alicia,143.54,130.0,only some im going,13.54,15236.97,4644.22
Kush,Alicia,144.0,130.5,some im going to,13.5,15191.95,4630.5
Kush,Alicia,144.46,131.0,im going to draw,13.46,15146.94,4616.78
Kush,Alicia,144.584,131.111,going to draw a,13.4733,15161.95,4621.35
Kush,Alicia,144.709,131.222,to draw a picture,13.4867,15176.95,4625.93
Kush,Alicia,144.833,131.333,draw a picture on,13.5,15191.95,4630.5
Kush,Alicia,144.958,131.444,a picture on the,13.5133,15206.96,4635.07
Kush,Alicia,145.082,131.556,picture on the board,13.5267,15221.96,4639.65
Kush,Alicia,145.207,131.667,on the board whoever,13.54,15236.97,4644.22
Kush,Alicia,145.331,131.778,the board whoever gets,13.5533,15251.97,4648.79
Kush,Alicia,145.456,131.889,board whoever gets this,13.5667,15266.98,4653.37
Kush,Alicia,145.58,132.0,whoever gets this gets,13.58,15281.98,4657.94
Kush,Alicia,145.993,132.444,gets this gets an,13.5489,15246.97,4647.27
Kush,Alicia,146.407,132.889,this gets an extra,13.5178,15211.96,4636.6
Kush,Alicia,146.82,133.333,gets an extra two,13.4867,15176.95,4625.93
Kush,Alicia,147.233,133.778,an extra two points,13.4556,15141.94,4615.26
Kush,Alicia,147.647,134.222,extra two points added,13.4244,15106.93,4604.58
Kush,Alicia,148.06,134.667,two points added theres,13.3933,15071.92,4593.91
Kush,Alicia,148.473,135.111,points added theres no,13.3622,15036.91,4583.24
Kush,Alicia,148.887,135.556,added theres no grades,13.3311,15001.9,4572.57
Kush,Alicia,149.3,136.0,theres no grades in,13.3,14966.89,4561.9
Kush,Alicia,150.18,136.833,no grades in this,13.3467,15019.4,4577.91
Kush,Alicia,151.06,137.667,grades in this school,13.3933,15071.92,4593.91
Kush,Alicia,151.94,138.5,in this school in,13.44,15124.44,4609.92
Kush,Alicia,152.82,139.333,this school in terms,13.4867,15176.95,4625.93
Kush,Alicia,153.7,140.167,school in terms of,13.5333,15229.47,4641.93
Kush,Alicia,162.3,146.0,at least im going,16.3,18342.88,5590.9
Kush,Alicia,162.487,146.5,least im going to,15.9867,17990.28,5483.43
Kush,Alicia,162.673,147.0,im going to talk,15.6733,17637.67,5375.95
Kush,Alicia,162.86,147.5,going to talk to,15.36,17285.07,5268.48
Kush,Alicia,163.047,148.0,to talk to you,15.0467,16932.47,5161.01
Kush,Alicia,165.54,154.0,if you want look,11.54,12986.31,3958.22
Kush,Alicia,166.967,154.667,you want look look,12.3,13841.56,4218.9
Kush,Alicia,170.513,156.5,you see these blocks,14.0133,15769.62,4806.57
Kush,Alicia,170.744,156.75,see these blocks over,13.9944,15748.37,4800.09
Kush,Alicia,170.976,157.0,these blocks over here,13.9756,15727.11,4793.62
Kush,Alicia,172.15,159.0,i found out that,13.15,14798.09,4510.45
Kush,Alicia,172.4,159.231,found out that you,13.1692,14819.73,4517.05
Kush,Alicia,172.65,159.462,out that you can,13.1885,14841.37,4523.64
Kush,Alicia,172.9,159.692,that you can actually,13.2077,14863.01,4530.24
Kush,Alicia,173.15,159.923,you can actually put,13.2269,14884.65,4536.83
Kush,Alicia,173.4,160.154,can actually put them,13.2462,14906.29,4543.43
Kush,Alicia,173.65,160.385,actually put them over,13.2654,14927.94,4550.03
Kush,Alicia,173.9,160.615,put them over here,13.2846,14949.58,4556.62
Kush,Alicia,174.15,160.846,them over here like,13.3038,14971.22,4563.22
Kush,Alicia,174.4,161.077,over here like that,13.3231,14992.86,4569.82
Kush,Alicia,174.65,161.308,here like that yeah,13.3423,15014.5,4576.41
Kush,Alicia,174.9,161.538,like that yeah but,13.3615,15036.14,4583.01
Kush,Alicia,175.5,161.769,that yeah but look,13.7308,15451.65,4709.65
Kush,Alicia,176.1,162.0,yeah but look this,14.1,15867.15,4836.3
Kush,Alicia,177.243,163.5,not fitting let me,13.7429,15465.25,4713.8
Kush,Alicia,177.471,163.75,fitting let me move,13.7214,15441.14,4706.45
Kush,Alicia,177.7,164.0,let me move it,13.7,15417.02,4699.1
Kush,Alicia,178.13,164.25,me move it no,13.88,15619.58,4760.84
Kush,Alicia,178.56,164.5,move it no but,14.06,15822.14,4822.58
Kush,Alicia,178.99,164.75,it no but i,14.24,16024.7,4884.32
Kush,Alicia,179.42,165.0,no but i think,14.42,16227.26,4946.06
Kush,Alicia,179.789,165.385,but i think its,14.4046,16209.95,4940.78
Kush,Alicia,180.158,165.769,i think its supposed,14.3892,16192.63,4935.51
Kush,Alicia,180.528,166.154,think its supposed to,14.3738,16175.32,4930.23
Kush,Alicia,180.897,166.538,its supposed to go,14.3585,16158.01,4924.95
Kush,Alicia,181.266,166.923,supposed to go like,14.3431,16140.69,4919.68
Kush,Alicia,181.635,167.308,to go like this,14.3277,16123.38,4914.4
Kush,Alicia,182.005,167.692,go like this over,14.3123,16106.07,4909.12
Kush,Alicia,182.374,168.077,like this over here,14.2969,16088.76,4903.84
Kush,Alicia,182.743,168.462,this over here right,14.2815,16071.44,4898.57
Kush,Alicia,183.112,168.846,over here right hmm,14.2662,16054.13,4893.29
Kush,Alicia,183.482,169.231,here right hmm so,14.2508,16036.82,4888.01
Kush,Alicia,183.851,169.615,right hmm so maybe,14.2354,16019.51,4882.74
Kush,Alicia,184.22,170.0,hmm so maybe that,14.22,16002.19,4877.46
Kush,Alicia,184.692,170.4,so maybe that will,14.292,16083.22,4902.16
Kush,Alicia,186.804,172.0,look now we dont,14.804,16659.39,5077.77
Kush,Alicia,187.028,172.333,now we dont have,14.6947,16536.35,5040.27
Kush,Alicia,187.252,172.667,we dont have space,14.5853,16413.31,5002.77
Kush,Alicia,187.476,173.0,dont have space for,14.476,16290.28,4965.27
Kush,Alicia,187.7,173.333,have space for this,14.3667,16167.24,4927.77
Kush,Alicia,187.924,173.667,space for this one,14.2573,16044.2,4890.27
Kush,Alicia,188.148,174.0,for this one you,14.148,15921.17,4852.76
Kush,Alicia,188.372,174.333,this one you have,14.0387,15798.13,4815.26
Kush,Alicia,188.596,174.667,one you have another,13.9293,15675.1,4777.76
Kush,Alicia,188.82,175.0,you have another one,13.82,15552.06,4740.26
Kush,Alicia,190.22,176.0,i do i found,14.22,16002.19,4877.46
Kush,Alicia,190.7,176.5,do i found a,14.2,15979.69,4870.6
Kush,Alicia,191.18,177.0,i found a blue,14.18,15957.18,4863.74
Kush,Alicia,191.5,177.4,found a blue one,14.1,15867.15,4836.3
Kush,Alicia,193.005,179.25,so we actually need,13.755,15478.91,4717.96
Kush,Alicia,193.23,179.5,we actually need to,13.73,15450.78,4709.39
Kush,Alicia,193.455,179.75,actually need to redo,13.705,15422.65,4700.82
Kush,Alicia,193.68,180.0,need to redo this,13.68,15394.51,4692.24
Kush,Alicia,193.905,180.25,to redo this oh,13.655,15366.38,4683.66
Kush,Alicia,194.13,180.5,redo this oh how,13.63,15338.25,4675.09
Kush,Alicia,194.355,180.75,this oh how are,13.605,15310.11,4666.52
Kush,Alicia,194.58,181.0,oh how are we,13.58,15281.98,4657.94
Kush,Alicia,194.835,181.25,how are we going,13.585,15287.61,4659.66
Kush,Alicia,195.09,181.5,are we going to,13.59,15293.23,4661.37
Kush,Alicia,195.345,181.75,we going to fit,13.595,15298.86,4663.09
Kush,Alicia,195.6,182.0,going to fit this,13.6,15304.49,4664.8
Kush,Alicia,196.62,183.5,try rearranging them how,13.12,14764.33,4500.16
Kush,Alicia,197.273,184.0,rearranging them how maybe,13.2733,14936.88,4552.75
Kush,Alicia,197.927,184.5,them how maybe you,13.4267,15109.43,4605.35
Kush,Alicia,198.58,185.0,how maybe you can,13.58,15281.98,4657.94
Kush,Alicia,200.06,187.0,maybe you can take,13.06,14696.81,4479.58
Kush,Alicia,200.59,187.5,you can take what,13.09,14730.57,4489.87
Kush,Alicia,201.12,188.0,can take what color,13.12,14764.33,4500.16
Kush,Alicia,201.65,188.5,take what color is,13.15,14798.09,4510.45
Kush,Alicia,202.18,189.0,what color is this,13.18,14831.85,4520.74
Kush,Alicia,202.436,189.2,color is this one,13.236,14894.87,4539.95
Kush,Alicia,202.692,189.4,is this one do,13.292,14957.89,4559.16
Kush,Alicia,202.948,189.6,this one do you,13.348,15020.9,4578.36
Kush,Alicia,203.204,189.8,one do you remember,13.404,15083.92,4597.57
Kush,Alicia,204.02,191.0,black its close close,13.02,14651.8,4465.86
Kush,Alicia,204.82,192.0,its close close which,12.82,14426.73,4397.26
Kush,Alicia,205.367,192.5,close close which one,12.8667,14479.25,4413.27
Kush,Alicia,205.913,193.0,close which one do,12.9133,14531.76,4429.27
Kush,Alicia,206.46,194.0,which one do you,12.46,14021.61,4273.78
Kush,Alicia,206.63,194.125,one do you think,12.505,14072.25,4289.21
Kush,Alicia,206.8,194.25,do you think this,12.55,14122.89,4304.65
Kush,Alicia,206.97,194.375,you think this one,12.595,14173.53,4320.09
Kush,Alicia,207.14,194.5,think this one is,12.64,14224.17,4335.52
Kush,Alicia,207.31,194.625,this one is blue,12.685,14274.81,4350.96
Kush,Alicia,207.31,197.0,this one is blue,10.31,11602.15,3536.33
Kush,Alicia,207.48,197.25,one is blue this,10.23,11512.13,3508.89
Kush,Alicia,208.98,194.625,this one is blue,14.355,16154.11,4923.76
Kush,Alicia,208.98,197.0,this one is blue,11.98,13481.45,4109.14
Kush,Alicia,209.39,197.25,one is blue this,12.14,13661.51,4164.02
Kush,Alicia,209.8,197.5,is blue this is,12.3,13841.56,4218.9
Kush,Alicia,210.21,197.75,blue this is actually,12.46,14021.61,4273.78
Kush,Alicia,210.62,198.0,this is actually green,12.62,14201.66,4328.66
Kush,Alicia,210.99,198.25,is actually green oh,12.74,14336.7,4369.82
Kush,Alicia,211.36,198.5,actually green oh gray,12.86,14471.74,4410.98
Kush,Alicia,211.73,198.75,green oh gray its,12.98,14606.78,4452.14
Kush,Alicia,212.1,199.0,oh gray its gray,13.1,14741.82,4493.3
Kush,Alicia,212.74,199.5,gray its gray correct,13.24,14899.37,4541.32
Kush,Alicia,213.38,200.0,its gray correct so,13.38,15056.92,4589.34
Kush,Alicia,213.74,200.333,gray correct so i,13.4067,15086.92,4598.49
Kush,Alicia,214.1,200.667,correct so i think,13.4333,15116.93,4607.63
Kush,Alicia,214.46,201.0,so i think you,13.46,15146.94,4616.78
Kush,Alicia,214.909,201.444,i think you can,13.4644,15151.94,4618.3
Kush,Alicia,215.358,201.889,think you can move,13.4689,15156.94,4619.83
Kush,Alicia,215.807,202.333,you can move this,13.4733,15161.95,4621.35
Kush,Alicia,216.256,202.778,can move this one,13.4778,15166.95,4622.88
Kush,Alicia,216.704,203.222,move this one over,13.4822,15171.95,4624.4
Kush,Alicia,234.26,221.0,but look its not,13.26,14921.88,4548.18
Kush,Alicia,234.575,221.375,look its not like,13.2,14854.36,4527.6
Kush,Alicia,234.89,221.75,its not like actually,13.14,14786.84,4507.02
Kush,Alicia,235.205,222.125,not like actually fitting,13.08,14719.32,4486.44
Kush,Alicia,235.52,222.5,like actually fitting anywhere,13.02,14651.8,4465.86
Kush,Alicia,237.54,224.0,i dont know what,13.54,15236.97,4644.22
Kush,Alicia,237.82,224.333,dont know what is,13.4867,15176.95,4625.93
Kush,Alicia,238.1,224.667,know what is this,13.4333,15116.93,4607.63
Kush,Alicia,242.02,229.0,it opens it does,13.02,14651.8,4465.86
Kush,Alicia,242.42,229.5,opens it does open,12.92,14539.26,4431.56
Kush,Alicia,248.88,235.0,good yeah yeah it,13.88,15619.58,4760.84
Kush,Alicia,249.38,236.0,yeah yeah it definitely,13.38,15056.92,4589.34
Kush,Alicia,249.849,236.5,yeah it definitely does,13.3486,15021.55,4578.56
Kush,Alicia,250.317,237.0,it definitely does do,13.3171,14986.18,4567.78
Kush,Alicia,250.786,237.2,definitely does do that,13.5857,15288.41,4659.9
Kush,Alicia,263.02,250.0,and whenever you open,13.02,14651.8,4465.86
Kush,Alicia,263.308,250.3,whenever you open and,13.008,14638.29,4461.74
Kush,Alicia,263.596,250.6,you open and close,12.996,14624.79,4457.63
Kush,Alicia,263.884,250.9,open and close you,12.984,14611.28,4453.51
Kush,Alicia,264.172,251.2,and close you create,12.972,14597.78,4449.4
Kush,Alicia,264.46,251.5,close you create multiple,12.96,14584.28,4445.28
Kush,Alicia,264.748,251.8,you create multiple angles,12.948,14570.77,4441.16
Kush,Alicia,266.5,254.0,and so when you,12.5,14066.62,4287.5
Kush,Alicia,266.809,254.25,so when you pull,12.5586,14132.54,4307.59
Kush,Alicia,267.117,254.5,when you pull apart,12.6171,14198.45,4327.68
Kush,Alicia,267.426,254.75,you pull apart youre,12.6757,14264.36,4347.77
Kush,Alicia,267.734,255.0,pull apart youre creating,12.7343,14330.27,4367.86
Kush,Alicia,268.043,255.25,apart youre creating these,12.7929,14396.19,4387.95
Kush,Alicia,268.351,255.5,youre creating these bigger,12.8514,14462.1,4408.04
Kush,Alicia,268.66,255.75,creating these bigger thinner,12.91,14528.01,4428.13
Kush,Alicia,269.1,256.0,these bigger thinner angles,13.1,14741.82,4493.3
Kush,Alicia,269.54,256.25,bigger thinner angles big,13.29,14955.64,4558.47
Kush,Alicia,269.98,256.5,thinner angles big angles,13.48,15169.45,4623.64
Kush,Alicia,270.42,256.75,angles big angles big,13.67,15383.26,4688.81
Kush,Alicia,270.86,257.0,big angles big angles,13.86,15597.07,4753.98
Kush,Alicia,271.26,257.5,angles big angles so,13.76,15484.54,4719.68
Kush,Alicia,275.9,264.0,exactly and when you,11.9,13391.43,4081.7
Kush,Alicia,277.82,265.0,and when you close,12.82,14426.73,4397.26
Kush,Alicia,278.044,265.2,when you close it,12.844,14453.74,4405.49
Kush,Alicia,291.751,278.125,professor all right class,13.6264,15334.23,4673.86
Kush,Alicia,292.02,279.0,all right class im,13.02,14651.8,4465.86
Kush,Alicia,292.24,279.333,right class im actually,12.9067,14524.26,4426.99
Kush,Alicia,292.46,279.667,class im actually not,12.7933,14396.72,4388.11
Kush,Alicia,292.68,280.0,im actually not a,12.68,14269.18,4349.24
Kush,Alicia,292.9,280.2,actually not a professor,12.7,14291.69,4356.1
Kush,Alicia,293.12,280.4,not a professor im,12.72,14314.2,4362.96
Kush,Alicia,293.34,280.6,a professor im actually,12.74,14336.7,4369.82
Kush,Alicia,293.56,280.8,professor im actually a,12.76,14359.21,4376.68
Kush,Alicia,293.78,281.0,im actually a teacher,12.78,14381.72,4383.54
Kush,Alicia,294.03,281.25,actually a teacher same,12.78,14381.72,4383.54
Kush,Alicia,294.28,281.5,a teacher same thing,12.78,14381.72,4383.54
Kush,Alicia,294.53,281.75,teacher same thing i,12.78,14381.72,4383.54
Kush,Alicia,294.78,282.0,same thing i didnt,12.78,14381.72,4383.54
Kush,Alicia,295.26,282.5,thing i didnt go,12.76,14359.21,4376.68
Kush,Alicia,295.74,283.0,i didnt go to,12.74,14336.7,4369.82
Kush,Alicia,296.077,283.286,didnt go to school,12.7914,14394.58,4387.46
Kush,Alicia,296.414,283.571,go to school that,12.8429,14452.45,4405.1
Kush,Alicia,296.751,283.857,to school that well,12.8943,14510.33,4422.74
Kush,Alicia,297.089,284.143,school that well so,12.9457,14568.2,4440.38
Kush,Alicia,297.426,284.429,that well so for,12.9971,14626.07,4458.02
Kush,Alicia,297.763,284.714,well so for todays,13.0486,14683.95,4475.66
Kush,Alicia,298.1,285.0,so for todays lesson,13.1,14741.82,4493.3
Kush,Alicia,298.587,285.4,for todays lesson were,13.1867,14839.35,4523.03
Kush,Alicia,299.073,285.8,todays lesson were going,13.2733,14936.88,4552.75
Kush,Alicia,299.56,286.2,lesson were going to,13.36,15034.41,4582.48
Kush,Alicia,300.047,286.6,were going to actually,13.4467,15131.94,4612.21
Kush,Alicia,300.533,287.0,going to actually be,13.5333,15229.47,4641.93
Kush,Alicia,301.02,287.4,to actually be doing,13.62,15326.99,4671.66
Kush,Alicia,301.438,287.8,actually be doing what,13.6378,15347.0,4677.76
Kush,Alicia,301.856,288.2,be doing what we,13.6556,15367.01,4683.86
Kush,Alicia,302.273,288.6,doing what we call,13.6733,15387.01,4689.95
Kush,Alicia,302.691,289.0,what we call a,13.6911,15407.02,4696.05
Kush,Alicia,303.109,289.4,we call a seminar,13.7089,15427.02,4702.15
Kush,Alicia,303.527,289.8,call a seminar were,13.7267,15447.03,4708.25
Kush,Alicia,303.944,290.2,a seminar were going,13.7444,15467.04,4714.34
Kush,Alicia,304.362,290.6,seminar were going to,13.7622,15487.04,4720.44
Kush,Alicia,304.78,291.0,were going to be,13.78,15507.05,4726.54
Kush,Alicia,304.993,291.333,going to be going,13.66,15372.01,4685.38
Kush,Alicia,305.207,291.667,to be going around,13.54,15236.97,4644.22
Kush,Alicia,305.42,292.0,be going around im,13.42,15101.93,4603.06
Kush,Alicia,305.633,292.333,going around im going,13.3,14966.89,4561.9
Kush,Alicia,305.847,292.667,around im going to,13.18,14831.85,4520.74
Kush,Alicia,306.06,293.0,im going to be,13.06,14696.81,4479.58
Kush,Alicia,306.496,293.5,going to be passing,12.996,14624.79,4457.63
Kush,Alicia,306.932,294.0,to be passing around,12.932,14552.77,4435.68
Kush,Alicia,307.368,294.5,be passing around the,12.868,14480.75,4413.72
Kush,Alicia,307.804,295.0,passing around the talking,12.804,14408.73,4391.77
Kush,Alicia,308.24,295.5,around the talking panda,12.74,14336.7,4369.82
Kush,Alicia,308.676,296.0,the talking panda here,12.676,14264.68,4347.87
Kush,Alicia,310.98,298.0,this is a panda,12.98,14606.78,4452.14
Kush,Alicia,313.673,300.667,talk it doesnt talk,13.0067,14636.79,4461.29
Kush,Alicia,314.06,301.0,it doesnt talk but,13.06,14696.81,4479.58
Kush,Alicia,314.284,301.2,doesnt talk but if,13.084,14723.82,4487.81
Kush,Alicia,314.508,301.4,talk but if i,13.108,14750.83,4496.04
Kush,Alicia,314.732,301.6,but if i throw,13.132,14777.83,4504.28
Kush,Alicia,314.956,301.8,if i throw it,13.156,14804.84,4512.51
Kush,Alicia,315.18,302.0,i throw it to,13.18,14831.85,4520.74
Kush,Alicia,315.404,302.2,throw it to you,13.204,14858.86,4528.97
Kush,Alicia,315.628,302.4,it to you can,13.228,14885.87,4537.2
Kush,Alicia,315.852,302.6,to you can i,13.252,14912.87,4545.44
Kush,Alicia,316.076,302.8,you can i have,13.276,14939.88,4553.67
Kush,Alicia,316.3,303.0,can i have the,13.3,14966.89,4561.9
Kush,Alicia,316.5,303.2,i have the panda,13.3,14966.89,4561.9
Kush,Alicia,316.7,303.4,have the panda yeah,13.3,14966.89,4561.9
Kush,Alicia,316.9,303.6,the panda yeah now,13.3,14966.89,4561.9
Kush,Alicia,317.1,303.8,panda yeah now what,13.3,14966.89,4561.9
Kush,Alicia,317.3,304.0,yeah now what do,13.3,14966.89,4561.9
Kush,Alicia,319.02,305.0,now what do i,14.02,15777.13,4808.86
Kush,Alicia,319.212,305.2,what do i do,14.012,15768.12,4806.12
Kush,Alicia,319.404,305.4,do i do now,14.004,15759.12,4803.37
Kush,Alicia,319.596,305.6,i do now you,13.996,15750.12,4800.63
Kush,Alicia,319.788,305.8,do now you get,13.988,15741.12,4797.88
Kush,Alicia,319.98,306.0,now you get to,13.98,15732.11,4795.14
Kush,Alicia,320.282,306.333,you get to talk,13.9489,15697.1,4784.47
