Speaker_1,Speaker_2,Speaker_1_Time_Sec,Speaker_2_Time_Sec,Raw_Time_Diff_Sec,Matched_Phrase,Estimated_Distance_Ft,Estimated_Distance_M
Kush,Alicia,145.331,131.778,13.5533,the board whoever gets,15251.97,4648.79
Kush,Alicia,145.456,131.889,13.5667,board whoever gets this,15266.98,4653.37
Kush,Alicia,145.58,132.0,13.58,whoever gets this gets,15281.98,4657.94
Kush,Alicia,145.993,132.444,13.5489,gets this gets an,15246.97,4647.27
Kush,Alicia,146.407,132.889,13.5178,this gets an extra,15211.96,4636.6
Kush,Alicia,146.82,133.333,13.4867,gets an extra two,15176.95,4625.93
Kush,Alicia,147.233,133.778,13.4556,an extra two points,15141.94,4615.26
Kush,Alicia,147.647,134.222,13.4244,extra two points added,15106.93,4604.58
Kush,Alicia,148.06,134.667,13.3933,two points added theres,15071.92,4593.91
Kush,Alicia,148.473,135.111,13.3622,points added theres no,15036.91,4583.24
Kush,Alicia,148.887,135.556,13.3311,added theres no grades,15001.9,4572.57
Kush,Alicia,149.3,136.0,13.3,theres no grades in,14966.89,4561.9
Kush,Alicia,150.18,136.833,13.3467,no grades in this,15019.4,4577.91
Kush,Alicia,151.06,137.667,13.3933,grades in this school,15071.92,4593.91
Kush,Alicia,151.94,138.5,13.44,in this school in,15124.44,4609.92
Kush,Alicia,152.82,139.333,13.4867,this school in terms,15176.95,4625.93
Kush,Alicia,153.7,140.167,13.5333,school in terms of,15229.47,4641.93
Kush,Alicia,162.3,146.0,16.3,at least im going,18342.88,5590.9
Kush,Alicia,162.487,146.5,15.9867,least im going to,17990.28,5483.43
Kush,Alicia,162.673,147.0,15.6733,im going to talk,17637.67,5375.95
Kush,Alicia,162.86,147.5,15.36,going to talk to,17285.07,5268.48
Kush,Alicia,163.047,148.0,15.0467,to talk to you,16932.47,5161.01
Kush,Alicia,165.54,154.0,11.54,if you want look,12986.31,3958.22
Kush,Alicia,166.967,154.667,12.3,you want look look,13841.56,4218.9
Kush,Alicia,170.513,156.5,14.0133,you see these blocks,15769.62,4806.57
Kush,Alicia,170.744,156.75,13.9944,see these blocks over,15748.37,4800.09
Kush,Alicia,170.976,157.0,13.9756,these blocks over here,15727.11,4793.62
Kush,Alicia,172.15,159.0,13.15,i found out that,14798.09,4510.45
Kush,Alicia,172.4,159.231,13.1692,found out that you,14819.73,4517.05
Kush,Alicia,172.65,159.462,13.1885,out that you can,14841.37,4523.64
Kush,Alicia,172.9,159.692,13.2077,that you can actually,14863.01,4530.24
Kush,Alicia,173.15,159.923,13.2269,you can actually put,14884.65,4536.83
Kush,Alicia,173.4,160.154,13.2462,can actually put them,14906.29,4543.43
Kush,Alicia,173.65,160.385,13.2654,actually put them over,14927.94,4550.03
Kush,Alicia,173.9,160.615,13.2846,put them over here,14949.58,4556.62
Kush,Alicia,174.15,160.846,13.3038,them over here like,14971.22,4563.22
Kush,Alicia,174.4,161.077,13.3231,over here like that,14992.86,4569.82
Kush,Alicia,174.65,161.308,13.3423,here like that yeah,15014.5,4576.41
Kush,Alicia,174.9,161.538,13.3615,like that yeah but,15036.14,4583.01
Kush,Alicia,175.5,161.769,13.7308,that yeah but look,15451.65,4709.65
Kush,Alicia,176.1,162.0,14.1,yeah but look this,15867.15,4836.3
Kush,Alicia,177.243,163.5,13.7429,not fitting let me,15465.25,4713.8
Kush,Alicia,177.471,163.75,13.7214,fitting let me move,15441.14,4706.45
Kush,Alicia,177.7,164.0,13.7,let me move it,15417.02,4699.1
Kush,Alicia,178.13,164.25,13.88,me move it no,15619.58,4760.84
Kush,Alicia,178.56,164.5,14.06,move it no but,15822.14,4822.58
Kush,Alicia,178.99,164.75,14.24,it no but i,16024.7,4884.32
Kush,Alicia,179.42,165.0,14.42,no but i think,16227.26,4946.06
Kush,Alicia,179.789,165.385,14.4046,but i think its,16209.95,4940.78
Kush,Alicia,180.158,165.769,14.3892,i think its supposed,16192.63,4935.51
Kush,Alicia,180.528,166.154,14.3738,think its supposed to,16175.32,4930.23
Kush,Alicia,180.897,166.538,14.3585,its supposed to go,16158.01,4924.95
Kush,Alicia,181.266,166.923,14.3431,supposed to go like,16140.69,4919.68
Kush,Alicia,181.635,167.308,14.3277,to go like this,16123.38,4914.4
Kush,Alicia,182.005,167.692,14.3123,go like this over,16106.07,4909.12
Kush,Alicia,182.374,168.077,14.2969,like this over here,16088.76,4903.84
Kush,Alicia,182.743,168.462,14.2815,this over here right,16071.44,4898.57
Kush,Alicia,183.112,168.846,14.2662,over here right hmm,16054.13,4893.29
Kush,Alicia,183.482,169.231,14.2508,here right hmm so,16036.82,4888.01
Kush,Alicia,183.851,169.615,14.2354,right hmm so maybe,16019.51,4882.74
Kush,Alicia,184.22,170.0,14.22,hmm so maybe that,16002.19,4877.46
Kush,Alicia,184.692,170.4,14.292,so maybe that will,16083.22,4902.16
Kush,Alicia,186.804,172.0,14.804,look now we dont,16659.39,5077.77
Kush,Alicia,187.028,172.333,14.6947,now we dont have,16536.35,5040.27
Kush,Alicia,187.252,172.667,14.5853,we dont have space,16413.31,5002.77
Kush,Alicia,187.476,173.0,14.476,dont have space for,16290.28,4965.27
Kush,Alicia,187.7,173.333,14.3667,have space for this,16167.24,4927.77
Kush,Alicia,187.924,173.667,14.2573,space for this one,16044.2,4890.27
Kush,Alicia,188.148,174.0,14.148,for this one you,15921.17,4852.76
Kush,Alicia,188.372,174.333,14.0387,this one you have,15798.13,4815.26
Kush,Alicia,188.596,174.667,13.9293,one you have another,15675.1,4777.76
Kush,Alicia,188.82,175.0,13.82,you have another one,15552.06,4740.26
Kush,Alicia,190.22,176.0,14.22,i do i found,16002.19,4877.46
Kush,Alicia,190.7,176.5,14.2,do i found a,15979.69,4870.6
Kush,Alicia,191.18,177.0,14.18,i found a blue,15957.18,4863.74
Kush,Alicia,191.5,177.4,14.1,found a blue one,15867.15,4836.3
Kush,Alicia,193.005,179.25,13.755,so we actually need,15478.91,4717.96
Kush,Alicia,193.23,179.5,13.73,we actually need to,15450.78,4709.39
Kush,Alicia,193.455,179.75,13.705,actually need to redo,15422.65,4700.82
Kush,Alicia,193.68,180.0,13.68,need to redo this,15394.51,4692.24
Kush,Alicia,193.905,180.25,13.655,to redo this oh,15366.38,4683.66
Kush,Alicia,194.13,180.5,13.63,redo this oh how,15338.25,4675.09
Kush,Alicia,194.355,180.75,13.605,this oh how are,15310.11,4666.52
Kush,Alicia,194.58,181.0,13.58,oh how are we,15281.98,4657.94
Kush,Alicia,194.835,181.25,13.585,how are we going,15287.61,4659.66
Kush,Alicia,195.09,181.5,13.59,are we going to,15293.23,4661.37
Kush,Alicia,195.345,181.75,13.595,we going to fit,15298.86,4663.09
Kush,Alicia,195.6,182.0,13.6,going to fit this,15304.49,4664.8
Kush,Alicia,196.62,183.5,13.12,try rearranging them how,14764.33,4500.16
Kush,Alicia,197.273,184.0,13.2733,rearranging them how maybe,14936.88,4552.75
Kush,Alicia,197.927,184.5,13.4267,them how maybe you,15109.43,4605.35
Kush,Alicia,198.58,185.0,13.58,how maybe you can,15281.98,4657.94
Kush,Alicia,200.06,187.0,13.06,maybe you can take,14696.81,4479.58
Kush,Alicia,200.59,187.5,13.09,you can take what,14730.57,4489.87
Kush,Alicia,201.12,188.0,13.12,can take what color,14764.33,4500.16
Kush,Alicia,201.65,188.5,13.15,take what color is,14798.09,4510.45
Kush,Alicia,202.18,189.0,13.18,what color is this,14831.85,4520.74
Kush,Alicia,202.436,189.2,13.236,color is this one,14894.87,4539.95
Kush,Alicia,202.692,189.4,13.292,is this one do,14957.89,4559.16
Kush,Alicia,202.948,189.6,13.348,this one do you,15020.9,4578.36
Kush,Alicia,203.204,189.8,13.404,one do you remember,15083.92,4597.57
Kush,Alicia,204.02,191.0,13.02,black its close close,14651.8,4465.86
Kush,Alicia,204.82,192.0,12.82,its close close which,14426.73,4397.26
Kush,Alicia,205.367,192.5,12.8667,close close which one,14479.25,4413.27
Kush,Alicia,205.913,193.0,12.9133,close which one do,14531.76,4429.27
Kush,Alicia,206.46,194.0,12.46,which one do you,14021.61,4273.78
Kush,Alicia,206.63,194.125,12.505,one do you think,14072.25,4289.21
Kush,Alicia,206.8,194.25,12.55,do you think this,14122.89,4304.65
Kush,Alicia,206.97,194.375,12.595,you think this one,14173.53,4320.09
Kush,Alicia,207.14,194.5,12.64,think this one is,14224.17,4335.52
Kush,Alicia,207.31,194.625,12.685,this one is blue,14274.81,4350.96
Kush,Alicia,207.48,197.25,10.23,one is blue this,11512.13,3508.89
Kush,Alicia,208.98,194.625,14.355,this one is blue,16154.11,4923.76
Kush,Alicia,209.39,197.25,12.14,one is blue this,13661.51,4164.02
Kush,Alicia,209.8,197.5,12.3,is blue this is,13841.56,4218.9
Kush,Alicia,210.21,197.75,12.46,blue this is actually,14021.61,4273.78
Kush,Alicia,210.62,198.0,12.62,this is actually green,14201.66,4328.66
Kush,Alicia,210.99,198.25,12.74,is actually green oh,14336.7,4369.82
Kush,Alicia,211.36,198.5,12.86,actually green oh gray,14471.74,4410.98
Kush,Alicia,211.73,198.75,12.98,green oh gray its,14606.78,4452.14
Kush,Alicia,212.1,199.0,13.1,oh gray its gray,14741.82,4493.3
Kush,Alicia,212.74,199.5,13.24,gray its gray correct,14899.37,4541.32
Kush,Alicia,213.38,200.0,13.38,its gray correct so,15056.92,4589.34
Kush,Alicia,213.74,200.333,13.4067,gray correct so i,15086.92,4598.49
Kush,Alicia,214.1,200.667,13.4333,correct so i think,15116.93,4607.63
Kush,Alicia,214.46,201.0,13.46,so i think you,15146.94,4616.78
Kush,Alicia,214.909,201.444,13.4644,i think you can,15151.94,4618.3
Kush,Alicia,215.358,201.889,13.4689,think you can move,15156.94,4619.83
Kush,Alicia,215.807,202.333,13.4733,you can move this,15161.95,4621.35
Kush,Alicia,216.256,202.778,13.4778,can move this one,15166.95,4622.88
Kush,Alicia,216.704,203.222,13.4822,move this one over,15171.95,4624.4
Kush,Alicia,234.26,221.0,13.26,but look its not,14921.88,4548.18
Kush,Alicia,234.575,221.375,13.2,look its not like,14854.36,4527.6
Kush,Alicia,234.89,221.75,13.14,its not like actually,14786.84,4507.02
Kush,Alicia,235.205,222.125,13.08,not like actually fitting,14719.32,4486.44
Kush,Alicia,235.52,222.5,13.02,like actually fitting anywhere,14651.8,4465.86
Kush,Alicia,237.54,224.0,13.54,i dont know what,15236.97,4644.22
Kush,Alicia,237.82,224.333,13.4867,dont know what is,15176.95,4625.93
Kush,Alicia,238.1,224.667,13.4333,know what is this,15116.93,4607.63
Kush,Alicia,242.02,229.0,13.02,it opens it does,14651.8,4465.86
Kush,Alicia,242.42,229.5,12.92,opens it does open,14539.26,4431.56
Kush,Alicia,248.88,235.0,13.88,good yeah yeah it,15619.58,4760.84
Kush,Alicia,249.38,236.0,13.38,yeah yeah it definitely,15056.92,4589.34
Kush,Alicia,249.849,236.5,13.3486,yeah it definitely does,15021.55,4578.56
Kush,Alicia,250.317,237.0,13.3171,it definitely does do,14986.18,4567.78
Kush,Alicia,250.786,237.2,13.5857,definitely does do that,15288.41,4659.9
Kush,Alicia,263.02,250.0,13.02,and whenever you open,14651.8,4465.86
Kush,Alicia,263.308,250.3,13.008,whenever you open and,14638.29,4461.74
Kush,Alicia,263.596,250.6,12.996,you open and close,14624.79,4457.63
Kush,Alicia,263.884,250.9,12.984,open and close you,14611.28,4453.51
Kush,Alicia,264.172,251.2,12.972,and close you create,14597.78,4449.4
Kush,Alicia,264.46,251.5,12.96,close you create multiple,14584.28,4445.28
Kush,Alicia,264.748,251.8,12.948,you create multiple angles,14570.77,4441.16
Kush,Alicia,266.5,254.0,12.5,and so when you,14066.62,4287.5
Kush,Alicia,266.809,254.25,12.5586,so when you pull,14132.54,4307.59
Kush,Alicia,267.117,254.5,12.6171,when you pull apart,14198.45,4327.68
Kush,Alicia,267.426,254.75,12.6757,you pull apart youre,14264.36,4347.77
Kush,Alicia,267.734,255.0,12.7343,pull apart youre creating,14330.27,4367.86
Kush,Alicia,268.043,255.25,12.7929,apart youre creating these,14396.19,4387.95
Kush,Alicia,268.351,255.5,12.8514,youre creating these bigger,14462.1,4408.04
Kush,Alicia,268.66,255.75,12.91,creating these bigger thinner,14528.01,4428.13
Kush,Alicia,269.1,256.0,13.1,these bigger thinner angles,14741.82,4493.3
Kush,Alicia,269.54,256.25,13.29,bigger thinner angles big,14955.64,4558.47
Kush,Alicia,269.98,256.5,13.48,thinner angles big angles,15169.45,4623.64
Kush,Alicia,270.42,256.75,13.67,angles big angles big,15383.26,4688.81
Kush,Alicia,270.86,257.0,13.86,big angles big angles,15597.07,4753.98
Kush,Alicia,271.26,257.5,13.76,angles big angles so,15484.54,4719.68
Kush,Alicia,275.9,264.0,11.9,exactly and when you,13391.43,4081.7
Kush,Alicia,277.82,265.0,12.82,and when you close,14426.73,4397.26
Kush,Alicia,278.044,265.2,12.844,when you close it,14453.74,4405.49
Kush,Alicia,291.751,278.125,13.6264,professor all right class,15334.23,4673.86
Kush,Alicia,292.02,279.0,13.02,all right class im,14651.8,4465.86
Kush,Alicia,292.24,279.333,12.9067,right class im actually,14524.26,4426.99
Kush,Alicia,292.46,279.667,12.7933,class im actually not,14396.72,4388.11
Kush,Alicia,292.68,280.0,12.68,im actually not a,14269.18,4349.24
Kush,Alicia,292.9,280.2,12.7,actually not a professor,14291.69,4356.1
Kush,Alicia,293.12,280.4,12.72,not a professor im,14314.2,4362.96
Kush,Alicia,293.34,280.6,12.74,a professor im actually,14336.7,4369.82
Kush,Alicia,293.56,280.8,12.76,professor im actually a,14359.21,4376.68
Kush,Alicia,293.78,281.0,12.78,im actually a teacher,14381.72,4383.54
Kush,Alicia,294.03,281.25,12.78,actually a teacher same,14381.72,4383.54
Kush,Alicia,294.28,281.5,12.78,a teacher same thing,14381.72,4383.54
Kush,Alicia,294.53,281.75,12.78,teacher same thing i,14381.72,4383.54
Kush,Alicia,294.78,282.0,12.78,same thing i didnt,14381.72,4383.54
Kush,Alicia,295.26,282.5,12.76,thing i didnt go,14359.21,4376.68
Kush,Alicia,295.74,283.0,12.74,i didnt go to,14336.7,4369.82
Kush,Alicia,296.077,283.286,12.7914,didnt go to school,14394.58,4387.46
Kush,Alicia,296.414,283.571,12.8429,go to school that,14452.45,4405.1
Kush,Alicia,296.751,283.857,12.8943,to school that well,14510.33,4422.74
Kush,Alicia,297.089,284.143,12.9457,school that well so,14568.2,4440.38
Kush,Alicia,297.426,284.429,12.9971,that well so for,14626.07,4458.02
Kush,Alicia,297.763,284.714,13.0486,well so for todays,14683.95,4475.66
Kush,Alicia,298.1,285.0,13.1,so for todays lesson,14741.82,4493.3
Kush,Alicia,298.587,285.4,13.1867,for todays lesson were,14839.35,4523.03
Kush,Alicia,299.073,285.8,13.2733,todays lesson were going,14936.88,4552.75
Kush,Alicia,299.56,286.2,13.36,lesson were going to,15034.41,4582.48
Kush,Alicia,300.047,286.6,13.4467,were going to actually,15131.94,4612.21
Kush,Alicia,300.533,287.0,13.5333,going to actually be,15229.47,4641.93
Kush,Alicia,301.02,287.4,13.62,to actually be doing,15326.99,4671.66
Kush,Alicia,301.438,287.8,13.6378,actually be doing what,15347.0,4677.76
Kush,Alicia,301.856,288.2,13.6556,be doing what we,15367.01,4683.86
Kush,Alicia,302.273,288.6,13.6733,doing what we call,15387.01,4689.95
Kush,Alicia,302.691,289.0,13.6911,what we call a,15407.02,4696.05
Kush,Alicia,303.109,289.4,13.7089,we call a seminar,15427.02,4702.15
Kush,Alicia,303.527,289.8,13.7267,call a seminar were,15447.03,4708.25
Kush,Alicia,303.944,290.2,13.7444,a seminar were going,15467.04,4714.34
Kush,Alicia,304.362,290.6,13.7622,seminar were going to,15487.04,4720.44
Kush,Alicia,304.78,291.0,13.78,were going to be,15507.05,4726.54
Kush,Alicia,304.993,291.333,13.66,going to be going,15372.01,4685.38
Kush,Alicia,305.207,291.667,13.54,to be going around,15236.97,4644.22
Kush,Alicia,305.42,292.0,13.42,be going around im,15101.93,4603.06
Kush,Alicia,305.633,292.333,13.3,going around im going,14966.89,4561.9
Kush,Alicia,305.847,292.667,13.18,around im going to,14831.85,4520.74
Kush,Alicia,306.06,293.0,13.06,im going to be,14696.81,4479.58
Kush,Alicia,306.496,293.5,12.996,going to be passing,14624.79,4457.63
Kush,Alicia,306.932,294.0,12.932,to be passing around,14552.77,4435.68
Kush,Alicia,307.368,294.5,12.868,be passing around the,14480.75,4413.72
Kush,Alicia,307.804,295.0,12.804,passing around the talking,14408.73,4391.77
Kush,Alicia,308.24,295.5,12.74,around the talking panda,14336.7,4369.82
Kush,Alicia,308.676,296.0,12.676,the talking panda here,14264.68,4347.87
Kush,Alicia,310.98,298.0,12.98,this is a panda,14606.78,4452.14
Kush,Alicia,313.673,300.667,13.0067,talk it doesnt talk,14636.79,4461.29
Kush,Alicia,314.06,301.0,13.06,it doesnt talk but,14696.81,4479.58
Kush,Alicia,314.284,301.2,13.084,doesnt talk but if,14723.82,4487.81
Kush,Alicia,314.508,301.4,13.108,talk but if i,14750.83,4496.04
Kush,Alicia,314.732,301.6,13.132,but if i throw,14777.83,4504.28
Kush,Alicia,314.956,301.8,13.156,if i throw it,14804.84,4512.51
Kush,Alicia,315.18,302.0,13.18,i throw it to,14831.85,4520.74
Kush,Alicia,315.404,302.2,13.204,throw it to you,14858.86,4528.97
Kush,Alicia,315.628,302.4,13.228,it to you can,14885.87,4537.2
Kush,Alicia,315.852,302.6,13.252,to you can i,14912.87,4545.44
Kush,Alicia,316.076,302.8,13.276,you can i have,14939.88,4553.67
Kush,Alicia,316.3,303.0,13.3,can i have the,14966.89,4561.9
Kush,Alicia,316.5,303.2,13.3,i have the panda,14966.89,4561.9
Kush,Alicia,316.7,303.4,13.3,have the panda yeah,14966.89,4561.9
Kush,Alicia,316.9,303.6,13.3,the panda yeah now,14966.89,4561.9
Kush,Alicia,317.1,303.8,13.3,panda yeah now what,14966.89,4561.9
Kush,Alicia,317.3,304.0,13.3,yeah now what do,14966.89,4561.9
Kush,Alicia,319.02,305.0,14.02,now what do i,15777.13,4808.86
Kush,Alicia,319.212,305.2,14.012,what do i do,15768.12,4806.12
Kush,Alicia,319.404,305.4,14.004,do i do now,15759.12,4803.37
Kush,Alicia,319.596,305.6,13.996,i do now you,15750.12,4800.63
Kush,Alicia,319.788,305.8,13.988,do now you get,15741.12,4797.88
Kush,Alicia,319.98,306.0,13.98,now you get to,15732.11,4795.14
Kush,Alicia,320.282,306.333,13.9489,you get to talk,15697.1,4784.47
Kush,Alicia,320.584,306.667,13.9178,get to talk about,15662.09,4773.8
Kush,Alicia,320.887,307.0,13.8867,to talk about whatever,15627.08,4763.13
Kush,Alicia,321.189,307.333,13.8556,talk about whatever you,15592.07,4752.46
Kush,Alicia,321.491,307.667,13.8244,about whatever you want,15557.06,4741.78
Kush,Alicia,321.793,308.0,13.7933,whatever you want whats,15522.05,4731.11
Kush,Alicia,322.096,308.333,13.7622,you want whats on,15487.04,4720.44
